id	crop_file	xmin	ymin	xmax	ymax	text	prob	source_image
0	word_000.jpg	125	79	193	131	Dźwięk	0.119607	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
1	word_001.jpg	196	81	242	141	słów	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
2	word_002.jpg	248	94	327	137	wyborczych	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
3	word_003.jpg	337	91	383	137	uszy	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
4	word_004.jpg	387	89	432	135	tylko	0.132463	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
5	word_005.jpg	440	84	505	134	pieści	0.230055	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
6	word_006.jpg	130	134	182	184	Jeśli	0.762646	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
7	word_007.jpg	190	142	220	170	się	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
8	word_008.jpg	225	133	298	163	zdatna	0.600380	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
9	word_009.jpg	307	136	369	159	nauka	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
10	word_010.jpg	377	135	414	154	nie	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
11	word_011.jpg	419	127	486	168	miści	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
12	word_012.jpg	144	178	238	214	Natenczas	0.154829	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
13	word_013.jpg	247	173	338	216	blaskiem	0.119856	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
14	word_014.jpg	351	175	418	218	oczym	0.118584	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
15	word_015.jpg	423	169	479	214	tylko	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
16	word_016.jpg	484	169	568	203	jaśnieją	0.225877	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
17	word_017.jpg	141	219	167	256	I	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
18	word_018.jpg	174	219	283	252	makrztałt	0.133880	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
19	word_019.jpg	290	217	377	261	próchna	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
20	word_020.jpg	382	213	446	262	świecą	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
21	word_021.jpg	452	216	474	238	a	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
22	word_022.jpg	477	209	515	236	nie	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
23	word_023.jpg	519	207	583	250	grzeją	1.000000	C:\Users\Ivan\Desktop\OCR_ZPI\Listy\Fredro\Fredro.jpg
