id	crop_file	xmin	ymin	xmax	ymax	text	suggested_text	prediction_score	prob	source_image
0	word_000.png	16	30	100	50	FORTEPIAN	FORTEPIAN	0.000000	0.885561	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
1	word_001.png	108	29	174	50	SZOPENA	Sz0pena	0.000000	0.095671	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
2	word_002.png	29	68	69	89	Byłem	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
3	word_003.png	35	88	123	103	niedocieczonego	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
4	word_004.png	74	76	85	89	u	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
5	word_005.png	88	72	122	90	Ciebie	Ch2	0.000000	0.034897	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
6	word_006.png	127	77	142	90	w	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
7	word_007.png	127	88	170	104	wątku	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
8	word_008.png	142	73	155	92	te	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
9	word_009.png	160	74	179	93	dni	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
10	word_010.png	181	72	269	97	przedostatnie	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
11	word_011.png	34	116	69	131	Nk	Nk	0.000000	0.895688	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
12	word_012.png	50	102	84	117	Pełne	PF	0.000000	0.461624	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
13	word_013.png	66	125	77	135	[manual]	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
14	word_014.png	78	122	106	138	jak	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
15	word_015.png	90	104	119	122	jak	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
16	word_016.png	111	117	146	135	świt	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
17	word_017.png	123	104	166	120	Mit	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
18	word_018.png	47	133	71	156	Gdy	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
19	word_019.png	76	135	113	151	życia	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
20	word_020.png	116	134	154	152	koniec	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
21	word_021.png	162	136	200	151	szepce	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
22	word_022.png	204	133	221	149	do	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
23	word_023.png	220	137	280	151	początku	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
24	word_024.png	47	152	67	165	Nie	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
25	word_025.png	72	152	116	177	stargam	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
26	word_026.png	123	150	138	168	Cię	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
27	word_027.png	139	152	154	173	ja	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
28	word_028.png	174	154	195	168	nie	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
29	word_029.png	214	149	231	178	Ja	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
30	word_030.png	244	150	311	168	u-wydatnie	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
31	word_031.png	30	185	70	207	Byłem	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
32	word_032.png	76	194	86	204	u	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
33	word_033.png	89	185	125	206	Ciebie	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
34	word_034.png	130	196	144	206	w	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
35	word_035.png	149	188	170	206	dni	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
36	word_036.png	173	190	188	206	te	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
37	word_037.png	195	187	277	209	przedostatnie	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
38	word_038.png	32	205	59	227	Gdy	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
39	word_039.png	63	204	145	225	podobniałeś	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
40	word_040.png	153	211	168	223	co	[manual]	0.000000	1.000000	C:\Users\Adi\Desktop\Listy\Norwid\Norwid2.png
